StepSizeSmall,StepSizeLarge,StepSizeRange,TimePerFrame (ms),FramesPerSecond,ImageFile,SSIM
0.16,0.75,0.1,11.47,87.183958,0131.png,0.999208
0.16,0.75,0.15,13.24,75.528701,0132.png,0.99929
0.16,0.75,0.2,14.86,67.294751,0133.png,0.999249
0.16,0.75,0.25,17.71,56.465274,0134.png,0.999259
0.16,1.0,0.05,7.86,127.226463,0135.png,0.99918
0.16,1.0,0.1,8.9,112.359551,0136.png,0.999231
0.16,1.0,0.15,10.73,93.196645,0137.png,0.999242
0.16,1.0,0.2,12.61,79.302141,0138.png,0.999271
0.16,1.0,0.25,15.6,64.102564,0139.png,0.999315
0.16,1.25,0.05,6.95,143.884892,0140.png,0.999102
0.16,1.25,0.1,7.27,137.551582,0141.png,0.999205
0.16,1.25,0.15,8.72,114.678899,0142.png,0.999237
0.16,1.25,0.2,10.88,91.911765,0143.png,0.999252
0.16,1.25,0.25,13.75,72.727273,0144.png,0.999222
0.16,1.5,0.05,5.55,180.18018,0145.png,0.998726
0.16,1.5,0.1,6.26,159.744409,0146.png,0.999222
0.16,1.5,0.15,7.76,128.865979,0147.png,0.999245
0.16,1.5,0.2,9.5,105.263158,0148.png,0.999197
0.16,1.5,0.25,12.74,78.492936,0149.png,0.99929
0.16,1.75,0.05,4.97,201.207243,0150.png,0.998144
0.16,1.75,0.1,5.52,181.15942,0151.png,0.999075
0.16,1.75,0.15,7.09,141.043724,0152.png,0.999262
0.16,1.75,0.2,8.54,117.096019,0153.png,0.999222
0.16,1.75,0.25,11.96,83.61204,0154.png,0.999283
0.16,2.0,0.05,4.63,215.982721,0155.png,0.996995
0.16,2.0,0.1,5.06,197.628458,0156.png,0.998726
0.16,2.0,0.15,6.55,152.671756,0157.png,0.999049
0.16,2.0,0.2,7.94,125.944584,0158.png,0.999169
0.16,2.0,0.25,10.86,92.081031,0159.png,0.999221
0.21,0.25,0.05,29.07,34.399725,0160.png,0.99906
